,TL BASED,USD BASED,imkb_x
date,BSE100,BSE200,BSE500
04-Dec-14,9.064635757,8.168083842,9.30787172
05-Dec-14,9.060989654,8.164513115,9.30470465
08-Dec-14,9.049337939,8.15345335,9.293604654
09-Dec-14,9.036597513,8.140580811,9.280506155
10-Dec-14,9.03996952,8.144264003,9.284817776
11-Dec-14,9.031812809,8.136497766,9.277205248
12-Dec-14,9.022806454,8.127682138,9.267730592
15-Dec-14,9.020843131,8.12523742,9.265303823
16-Dec-14,9.000595407,8.104615851,9.243642644
17-Dec-14,8.996586351,8.100282836,9.23864499
18-Dec-14,9.014914123,8.119758751,9.258588485
19-Dec-14,9.021799918,8.125965252,9.264873064
22-Dec-14,9.033372857,8.137237923,9.275607378
23-Dec-14,9.026647075,8.13095996,9.269642708
24-Dec-14,9.017832713,8.123288009,9.262766774
26-Dec-14,9.020001563,8.125755241,9.265085153
29-Dec-14,9.026317769,8.132709427,9.272029838
30-Dec-14,9.028143207,8.13487218,9.274488192
31-Dec-14,9.032321943,8.139758534,9.280017543
01-Jan-15,9.033462372,8.141250963,9.282160443
02-Jan-15,9.04606932,8.153131029,9.293431659
05-Jan-15,9.04441801,8.151736947,9.292291719
06-Jan-15,9.014377798,8.122302972,9.262806628
07-Jan-15,9.011849189,8.120737377,9.261314816
08-Jan-15,9.027817995,8.136494839,9.276969519
09-Jan-15,9.032554912,8.14065659,9.280911597
12-Jan-15,9.038039639,8.145949784,9.286350035
13-Jan-15,9.034922132,8.143749869,9.284283902
14-Jan-15,9.032784242,8.14215059,9.282495438
15-Jan-15,9.056863965,8.164165873,9.30340895
16-Jan-15,9.060181215,8.167905182,9.306839844
19-Jan-15,9.06515505,8.172587972,9.311738347
20-Jan-15,9.079299589,8.185414324,9.323825295
21-Jan-15,9.082334258,8.188113959,9.325977106
22-Jan-15,9.086594091,8.192141491,9.329950183
23-Jan-15,9.095086635,8.199640055,9.336373724
27-Jan-15,9.103178234,8.208314721,9.344796961
28-Jan-15,9.104093908,8.209966698,9.346212149
29-Jan-15,9.10711757,8.211917251,9.347884204
30-Jan-15,9.09415481,8.200057591,9.33664169
02-Feb-15,9.093277202,8.200016395,9.337311292
03-Feb-15,9.088144489,8.194676719,9.332492516
04-Feb-15,9.084002473,8.190493052,9.32832161
05-Feb-15,9.081256219,8.186564647,9.323958301
06-Feb-15,9.075803903,8.18062055,9.317227821
09-Feb-15,9.059976679,8.165124764,9.302219217
10-Feb-15,9.065419797,8.170686376,9.307384502
11-Feb-15,9.074210177,8.180575744,9.317584512
12-Feb-15,9.08405807,8.19088948,9.328163407
13-Feb-15,9.094046976,8.200334937,9.337350925
16-Feb-15,9.093941378,8.20009604,9.337204714
18-Feb-15,9.099951681,8.206567243,9.344102613
19-Feb-15,9.10309586,8.208881109,9.346332609
20-Feb-15,9.097226544,8.203668045,9.341774692
23-Feb-15,9.088050697,8.194627016,9.332919001
24-Feb-15,9.08910112,8.195292276,9.333160478
