Date,Open,High,Low,Close
04/04/24, 18366.37, 18427.43, 18340.24, 18403.13
04/03/24, 18281.82, 18376.08, 18281.82, 18367.72
04/02/24, 18492.36, 18567.16, 18275.94, 18283.13
03/28/24, 18477.40, 18513.83, 18468.87, 18492.49
03/27/24, 18385.17, 18511.17, 18385.17, 18477.09
03/26/24, 18262.11, 18411.98, 18256.81, 18384.35
03/25/24, 18206.36, 18285.58, 18176.85, 18261.31
03/22/24, 18175.08, 18225.97, 18140.99, 18205.94
03/21/24, 18019.86, 18179.81, 18019.86, 18179.25
03/20/24, 17987.91, 18044.49, 17955.69, 18015.13
03/19/24, 17932.18, 17998.04, 17914.18, 17987.49
03/18/24, 17936.31, 18015.49, 17902.92, 17932.68
03/15/24, 17938.14, 18038.11, 17926.72, 17936.65
03/14/24, 18002.97, 18039.05, 17899.93, 17942.04
03/13/24, 17984.50, 18001.42, 17939.56, 17961.38
03/12/24, 17810.15, 17973.22, 17746.89, 17965.11
03/11/24, 17690.95, 17750.72, 17662.55, 17746.27
03/08/24, 17849.85, 17860.51, 17795.13, 17814.51
03/07/24, 17648.89, 17879.11, 17619.40, 17842.85
03/06/24, 17685.92, 17745.16, 17682.51, 17716.71
03/05/24, 17682.78, 17746.57, 17643.11, 17698.40
03/04/24, 17743.44, 17756.39, 17684.73, 17716.17
03/01/24, 17793.47, 17816.52, 17690.89, 17735.07
02/29/24, 17634.61, 17742.48, 17620.11, 17678.19
02/28/24, 17569.61, 17605.61, 17552.98, 17601.22
02/27/24, 17431.37, 17563.41, 17428.17, 17556.49
02/26/24, 17396.74, 17460.53, 17396.40, 17423.23
02/23/24, 17372.01, 17443.74, 17354.76, 17419.33
02/22/24, 17326.76, 17429.66, 17279.73, 17370.45
02/21/24, 17102.08, 17157.95, 17063.25, 17118.12
02/20/24, 17066.23, 17084.87, 17019.15, 17068.43
02/19/24, 17075.74, 17098.61, 17049.22, 17092.26
02/16/24, 17117.37, 17198.45, 17060.38, 17117.44
02/15/24, 17022.54, 17089.12, 17003.82, 17046.69
02/14/24, 16872.89, 16957.78, 16857.34, 16945.48
02/13/24, 16987.09, 16991.61, 16831.53, 16880.83
02/12/24, 16975.99, 17042.74, 16958.80, 17037.35
02/09/24, 16973.58, 16993.12, 16876.36, 16926.50
02/08/24, 16936.14, 17029.54, 16889.13, 16963.83
02/07/24, 17020.77, 17021.55, 16907.15, 16921.96
02/06/24, 16965.89, 17049.52, 16871.32, 17033.24
02/05/24, 16925.97, 16972.62, 16859.00, 16904.06
02/02/24, 16977.75, 17004.55, 16894.67, 16918.21
02/01/24, 16834.13, 16915.92, 16821.60, 16859.04
01/31/24, 16972.47, 16991.84, 16884.87, 16903.76
01/30/24, 16991.37, 16999.58, 16946.56, 16972.34
01/29/24, 16925.39, 16941.71, 16860.05, 16941.71
01/26/24, 16879.01, 16967.72, 16849.31, 16961.39
01/25/24, 16849.76, 16916.60, 16785.69, 16906.92
01/24/24, 16793.27, 16921.41, 16760.92, 16889.92
01/23/24, 16753.09, 16753.09, 16626.59, 16627.09
01/22/24, 16684.10, 16705.49, 16607.72, 16683.36
01/19/24, 16626.53, 16647.85, 16513.46, 16555.13
